自	zì from
准确	zhǔnquè correct, accurate, exact
核心	héxīn core
宠儿	chǒng'ér [F] child of fortune, favorite
百依百顺	bǎiyībǎishùn docile and obedient
言听计从	yántīngjìcóng always listen to sb's words and follow his counsels
引用	yǐnyòng to quote, to cite
宝贝	bǎobèi treasured object, darling, baby
心肝儿	xīngānr darling (term of endearment used mostly with one's small children)
尽力	jìnlì to do all one can, to try one's best
般	bān just like, kind
回顾	huígù to reflect, to restrospect, to look back
历来	lìlái [F] (has always been like this) from the past, through the ages
重生	zhòng shēng to think having children is important
农业	nóngyè agriculture, farming
决定	juédìng to decide, decision
加之	jiāzhī moreover, furthermore
封建	fēngjiàn feudalism
宠爱	chǒng'ài to favor, to love ardently
自然	zìrán naturally, certainly
遗憾	yíhàn unfortunate
出色	chūsè excellent, outstanding
娇生惯养	jiāoshēngguànyǎng pampered and indulged since childhood
好吃懒做	hàochīlǎnzuò love eating but hate working
自我	zìwǒ self, ego
懂得	dǒngde to understand, to know
相处	xiāngchǔ to get along (with one another)
批评	pīpíng to be critical of sb or sth, to criticize
例外	lìwài exception
患	huàn [F] to contract (an illness)
综合症	zōnghézhèng syndrome
谢绝	xièjué to refuse or decline politely
应聘	yìngpìn to apply (for a job)
名	míng MW indicating number of people
结论	jiélùn final conclusion or judgement
道德	dàodé morals, ethics
广泛	guǎngfàn broad, wide-ranging
富有	fù yǒu [F] to be rich in, to be full of
同情	tóngqíng to sympathize
勤劳	qínláo diligent, industrious
节俭	jiéjiǎn [F] thrifty
挫折	cuòzhé frustration, setback
不足	bùzú shortcoming, shortage
客观	kèguān objective
评价	píngjià to appraise, to evaluate
达成	dáchéng to reach an agreement
共识	gòngshí common understanding
本质	běnzhì essence, nature
区别	qūbié [F] difference, to differentiate
承载	chéngzài [F] to stand, to bear
出类拔萃	chūlèi bácuì excel from one's fellow beings
补习	bǔxí to take lessons after school or work
恨不得	hèn bude one wishes one could
琴	qín (general name for a type of traditional musical instruments, similar to zither)
棋	qí Chinese chess
书	shū calligraphy
画	huà paintings
无所不能	wúsuǒbùnéng there is nothing one cannot do
承认	chéngrèn to acknowledge, to admit
强迫	qiǎngpò to compel, to force
纪律	jìlǜ discipline, rule
举止	jǔzhǐ behavior, manners
自律	zìlǜ self-displine
糖	táng candy
忍	rěn to endure, to tolerate
奖励	jiǎnglì to encourage
控制	kòngzhì to control, to dominate
欲望	yùwàng desire, wish
焦点	jiāodiǎn focus
可喜	kěxǐ gratifying, heartening
地震	dìzhèn earthquake
圣火	shènghuǒ Olympic Flame
爱国	aì guó patriotic
奉献	fèngxiàn to sacrifice
行动	xíngdòng act, behavior
垮掉	kuǎdiào to collapse, to break down
