校园～校園	xiàoyuán<br>campus, schoolyard
涨价～漲價	zhǎng jià<br>to rise in price, (price) to go up
汽油	qìyóu<br>gas, gasoline
省事	shěng shì<br>to save trouble, convenient
得罪	dézuì<br>to displease, to offend
大多数～大多數	dàduōshù<br>most
市长～市長	shìzhǎng<br>mayor
亿万富翁～億萬富翁	yìwàn fùwēng<br>billionaire
租	zū<br>to rent, to hire
提	tí<br>to raise, to put forward, to bring up
建议～建議	jiànyì<br>to suggest, proposal, suggestion
丰富～豐富	fēngfù<br>to enrich, rich, abundant
私家车～私家車	sījīachē<br>private car
快速	kuàisù<br>fast, quickly, with high speed
观念～觀念	guānniàn<br>notion, concept, thought
改革开放～改革開放	gǎigé kāifàng<br>open up and reform (starting in 1979)
改变～改變	gǎibiàn<br>to change
公家	gōngjia<br>the public
区别～區別	qūbié<br>to distinguish, to differentiate, difference
名词～名詞	míngcí<br>noun, term
出现～出現	chūxiàn<br>to appear, to arise, to emerge
据～據	jù<br>according to, based on
公路	gōnglù<br>highway, road
百分之	bǎifēnzhī<br>percent
市场～市場	shìchǎng<br>market, marketplace, bazaar
火爆	huǒbào<br>fiery, prosperous, booming
带动～帶動	dàidòng<br>to bring along, to drive
相关～相關	xiāngguān<br>related
行业～行業	hángyè<br>trade, profession, industry
维修～維修	wéixiū<br>to maintain and repair
装饰～裝飾	zhuāngshì<br>to decorate, decoration, ornament
驾驶～駕駛	jiàshǐ<br>to drive, to pilot (a ship or plane)
纷纷～紛紛	fēnfēn<br>in succession
旅行社	lǚxíngshè<br>travel agency
专线～專線	zhuānxiàn<br>special route
差	chà<br>poor
严重～嚴重	yánzhòng<br>severe, grave
绿地～綠地	lǜdì<br>green space
草坪	cǎopíng<br>lawn
活动～活動	huódòng<br>activities, to exercise
空间～空間	kōngjiān<br>space
进入～進入	jìnrù<br>to enter
后果～後果	hòuguǒ<br>consequence
面临～面臨	miànlín<br>to face, to be confronted with
重大	zhòngdà<br>significant, major, momentous
晒黑～曬黑	shàhēi<br>to get tanned
假期	jiàqī<br>vacation, holiday
內蒙古	Nèiměnggǔ<br>Inner Mongolia
草原	cǎoyuán<br>grassland, prairie
桂林	Guìlín<br>city in Guangxi Province
山水	shānshuǐ<br>mountains and waters
少数民族～少數民族	shǎoshù mínzú<br>ethnic minority
感触～感觸	gǎnchù<br>thoughts and feelings
皮肤～皮膚	pífū<br>skin
空	kōng<br>empty
花光	huāguāng<br>to spend all money
剩下	shèngxia<br>to be left over, to remain
决定～決定	juédìng<br>to decide, to make up one's mind, decision
青岛～青島	Qīngdǎo<br>city in Shandong Province
西安	Xī'ān<br>capital of Shanxi Province
入	rù<br>to enter, to come into
美丽～美麗	měilì<br>beautiful, beauty, fairness
海边～海邊	hǎibiān<br>seaside
游泳	yóu yǒng<br>to swim
水族馆～水族館	shuǐzúguǎn<br>aquarium
海底	hǎidǐ<br>seabed, seafloor
动物～動物	dòngwù<br>animal
秦始皇	Qín Shǐhuáng<br>Emperor Qin, who first unified China in 220 BC
陵	líng<br>mausoleum, imperial tomb
兵马俑～兵馬俑	bīngmǎyǒng<br>terra-cotta warrior
总结～總結	zǒngjié<br>to summarize, to sum up
感受	gǎnshòu<br>experience and feeling, to feel
深	shēn<br>deep, profound
城市	chéngshì<br>metropolis
不同	bùtóng<br>different, distinct
城镇～城鎮	chéngzhèn<br>small towns
离开～離開	líkāi<br>to depart, to leave, to take off
比较～比較	bǐjiào<br>relatively, comparatively
偏远～偏遠	piānyuǎn<br>remote, faraway
中西部	zhōngxībù<br>midwest
高楼～高樓	gāolóu<br>tall building, skyscraper
变化～變化	bìanhuà<br>change
普遍	pǔbiàn<br>universal, general, pervasive
各种～各種	gèzhǒng<br>all kinds of, various
出远门～出遠門	chū yuǎnmén<br>to leave home for a long journey
工具	gōngjù<br>tool, instrument
光	guāng<br>solely, just
软卧～軟臥	ruǎnwò<br>soft-cushioned birth (train)
级别～級別	jíbié<br>rank, level, grade, scale
官员～官員	guānyuán<br>government official
硬座	yìngzuò<br>hard seat (train)
软座～軟座	ruǎnzuò<br>soft seat (train)
硬卧～硬臥	yìngwò<br>hard-cushioned berth (train)
享受	xiǎngshòu<br>to enjoy, enjoyment, pleasure
根据～根據	gēnjù<br>based on, according to
爱好～愛好	àihào<br>hobby, be fond of
需要	xūyào<br>to need, to require, to demand
选择～選擇	xuǎnzé<br>to choose, to opt, to select, to pick, choice, option
饭店～飯店	fàndiàn<br>hotel
提供	tígōng<br>to provide, to supply, to offer
一日游～一日遊	yīrìyóu<br>one-day trip
团体～團體	tuántǐ<br>group, team
机票～機票	jīpiào<br>airplane ticket
收	shōu<br>to collect, to charge
手续费～手續費	shǒuxùfèi<br>service charge, handling fee
售票处～售票處	shòupiàochù<br>ticket office, booking office
推销～推銷	tuīxiāo<br>to promote the sale, sale promotion, salesmanship
消费～消費	xiāofèi<br>to consume, consumption
黄金周～黃金週	huángjīnzhōu<br>Golden Week (one week holidays around 10/1)
景点～景點	jǐngdiǎn<br>scenic spot, attraction
名胜古迹～名勝古蹟	míngshèng gǔjì<br>famous scenic spots and historical sites
人山人海	rén shān rén hǎi<br>ocean or sea of people, huge crowd
避开～避開	bìkāi<br>to prevent, to avoid
游客～遊客	yóukè<br>tourist
后海～後海	hòuhǎi<br>Houhai, a place in Beijing
三里屯	sānlǐtún<br>Sanlitun, a place in Beijing
醉	zuì<br>drunk
偶尔～偶爾	ǒu'ěr<br>occasionally, once in a while
基本上	jīběnshang<br>mainly, basically
正经～正經	zhèngjǐng<br>decent, serious
娱乐～娛樂	yúlè<br>entertainment, recreation, to entertain, to amuse
唱腔	chàngqiāng<br>aria, melodies of the singing part in an opera
美	měi<br>beautiful, pretty
服装～服裝	fúzhuāng<br>costume, apparel
武打	wǔdǎ<br>acrobatic combat in Chinese opera or Kongfu movie
棒	bàng<br>excellent, great
暑期班	shǔqībān<br>summer class
杂技～雜技	zájì<br>acrobatics
惊险～驚險	jīngxiǎn<br>alarmingly dangerous, thrilling
刺激	cìjī<br>provoke, stimulate
新	xīn<br>newly, recently, new
大片儿～大片兒	dàpiānr<br>hit movie, blockbuster
配音	pèiyīn<br>to dub (a film)
明星	míngxīng<br>star (in movies, etc.)
象棋	xiàngqí<br>Chinese Chess
绝对～絕對	juéduì<br>absolutely
发现～發現	fāxiàn<br>to find out, to notice, discovery
傍晚	bàngwǎn<br>dusk, nightfall
路边～路邊	lùbiān<br>sidewalk
摆～擺	bǎi<br>to set up, to display, to arrange
围～圍	wéi<br>to enclose, to surround
下棋	xià qí<br>to play chess
我说呢～我說呢	wǒ shuō ne<br>No wonder
堆	duī<br>a pile of, MW for crowd
好奇	hàoqí<br>curious, inquisitive
一直	yìzhí<br>all along
兴趣～興趣	xìngqù<br>interest
街	jiē<br>street
群众～群眾	qúnzhòng<br>the masses, the people
热闹～熱鬧	rènao<br>bustling with noise and excitement, liven up, liveliness
气氛～氣氛	qìfēn<br>atmosphere, tone
卡拉OK厅～卡拉OK廳	kǎlāOKtīng<br>Karaoke place
免费～免費	miǎnfèi<br>free, free of charge, gratis
业余～業餘	yèyú<br>amateur; after-work, spare time
空地	kòngdì<br>vacant lot, open ground
练功～練功	liàn gōng<br>to practice one's professional training
太极拳～太極拳	tàijíquán<br>the traditional Chinese shadow boxing
提	tí<br>carry
鸟笼子～鳥籠子	niǎolóngzi<br>birdcage
遛鸟～遛鳥	liù niǎo<br>to walk bird, to let it sing
牵～牽	qiān<br>to lead along, to hold the leash
宠物～寵物	chǒngwù<br>pet, house pet
遛弯儿～遛彎兒	liù wānr<br>to wander about, to walk (the pet) (Beijing dialect)
广场～廣場	guǎngchǎng<br>square, plaza
群	qún<br>a group of, a crowd of
老大妈～老大媽	lǎodàmā<br>mid-aged woman, old woman
扇子	shànzi<br>fan
节奏～節奏	jiézòu<br>rhythm, beat
兴高采烈～興高采烈	xìng gāo cǎi liè<br>in high spirits, excited
马路～馬路	mǎlù<br>road
摇～搖	yáo<br>to shake, to wave, to rock
侃大山	kǎn dàshān<br>to chat and brag (colloquial)
路灯～路燈	lùdēng<br>road lamp, streetlight
街道	jiēdào<br>street
打牌	dǎ pái<br>to play mahjong or cards
种花～種花	zhòng huā<br>to grow flowers, to do floriculture
养鱼～養魚	yǎng yú<br>to raise fish
虫～蟲	chóng<br>insect, worm
成年人	chéngniánrén<br>adult, grown-up
退休	tuì xiū<br>to retire
身影	shēnyǐng<br>figure, profile, silhouette
要么～要麼	yàome<br>either...or
前途	qiántú<br>future, prospects
奋斗～奮鬥	fèndòu<br>to struggle, to strive (for), to work hard
游戏～遊戲	yóuxì<br>game, pastime
多样化～多樣化	duōyànghuà<br>diversified
欣赏～欣賞	xīnshǎng<br>to appreciate, to enjoy
高雅	gāoyǎ<br>refined, elegant, elegance
艺术～藝術	yìshù<br>art
剧场～劇場	jùchǎng<br>theater
话剧～話劇	huàjù<br>modern drama, stage play
聚	jù<br>to get together
舞厅～舞廳	wǔtīng<br>dance hall, ballroom
田园～田園	tiányuán<br>pastoral, countryside
风光～風光	fēngguāng<br>scene, view, sight
划船	huá chuán<br>to paddle or row boat
钓鱼～釣魚	diào yú<br>to go fishing
大自然	dàzìrán<br>nature
魅力	mèilì<br>charm, fascination, charisma
礼品～禮品	lǐpǐn<br>present, gift
纪念品～ 紀念品	jìniànpǐn<br>souvenir
旗袍	qípáo<br>chi-pao, women's cheongsam
定做	dìngzuò<br>to custom make
照片	zhàopiàn<br>photo, picture
唐装～唐裝	tángzhuāng<br>traditional Chinese clothing
礼物～禮物	lǐwù<br>gift, present, contribution
红桥～紅橋	Hóngqiáo<br>name of a market
秀水	Xiùshuǐ<br>name of a market
购物中此乃～購物中心	gòuwù zhōngxīn<br>shopping center, mall
收获～收穫	shōuhuò<br>harvest, grains
款式	kuǎnshì<br>style, design (of clothing)
物美价廉～物美價廉	wùměijiàlián<br>with good quality and low price
潘家园～潘家園	Pānjiāyuán<br>name of an antique market
古玩	gǔwán<br>antique, curio
工艺品～工藝品	gōngyìpǐn<br>artwork, handicraft
汉朝～漢朝	Hàncháo<br>Han Dynasty
陶俑	táoyǒng<br>pottery figurine
清朝	Qīngcháo<br>Qing Dynasty
瓷器	cíqì<br>chinaware, porcelain
文物	wénwù<br>unearthed antique
仿制品～仿製品	fǎngzhìpǐn<br>reproduction, knock-off
收藏	shōucáng<br>to collect and store up
价值～價值	jiàzhí<br>worth, value
名牌	míngpái<br>name brand
猜	cāi<br>to have a guess
打击～打擊	dǎjī<br>to strike, to attack, to shoot
假冒	jiǎmào<br>fake
产品～產品	chǎnpǐn<br>product
查	chá<br>to check, to examine, to investigate
货～貨	huò<br>goods, commodity
没收	mòshōu<br>to confiscate, to expropriate
罚款～罰款	fá kuǎn<br>to impose a fine or forfeit, fine
冒险～冒險	mào xiǎn<br>to take a risk, to adventure
心理	xīnlǐ<br>psychology, mentality
精美	jīngměi<br>exquisite, elegant, fine
何必	hébì<br>there is no need
在乎	zàihu<br>to care about, to mind
牌子	páizi<br>brand, sign, label, tag, plate
盗版～盜版	dàobǎn<br>pirated (edition), pirated version, illegal copy
关盘～光盤	guāngpán<br>disc
歌曲	gēqǔ<br>song
音质～音質	yīnzhì<br>sound quality
死机～死機	sǐ jī<br>(computer, cell phone) to stop functioning
正版	zhèngbǎn<br>legal copy
质量～質量	zhìliàng<br>quality
保证～保證	bǎozhèng<br>to promise, to assure, to guarantee
宁缺毋滥～寧缺毋濫	nìngquē-wúlàn<br>would rather have less than to have more with bad quality; less is more
送礼～送禮	sòng lǐ<br>to give somebody a present
具有	jùyǒu<br>to possess, to have
悠久	yōujiŭ<br>long-standing, long in time
复杂～複雜	fùzá<br>complicated, complex
合适～合適	héshì<br>appropriate, proper,suitable
作为～作為	zuòwéi<br>as
不必	búbì<br>need not, not have to
伤脑筋～傷腦筋	shāng nǎojīn<br>stressed
精心	jīngxīn<br>meticulously, elaborately
心意	xīnyì<br>regard, kindly feelings
与众不同～與眾不同	yǔ zhòng bùtóng<br>be out of the ordinary, be different from others
家乡～家鄉	jiāxiāng<br>hometown
特色	tèsè<br>distinguishing feature or quality
顶～頂	dǐng<br>measure for hats
棒球帽	bàngqiúmào<br>baseball cap
纪念～紀念	jìniàn<br>to commemorate
明信片	míngxìnpiàn<br>postcard, lettercard
主人	zhǔrén<br>host, owner, master
满意～滿意	mǎnyì<br>satisfied, pleased, to one's satisfaction
千里送鹅毛礼轻情意重～千里送鵝毛禮輕情意重	Qiānlǐ sòng émáo lǐqīng qíngyì zhòng<br>The friendship cannot be measured by the value of the gift
安排	ānpái<br>to arrange, arrangement
座位	zuòwèi<br>seating, seat
年长～年長	niánzhǎng<br>senior
受	shòu<br>to receive, to accept, to suffer
尊重	zūnzhòng<br>to respect, to esteem
住座	zhǔzuò<br>master seat
谦让～謙讓	qiānràng<br>to modestly decline
经过～經過	jīngguò<br>to pass, to go through, to undergo
推让～推讓	tuīràng<br>to decline (a position, favor, etc.) out of modesty
账单～帳單	zhàngdān<br>bill
抢～搶	qiǎng<br>to rob, to grab, to snatch
够意思～夠意思	gòu yìsi<br>really _____, really kind
采用～採用	cǎiyòng<br>to adopt, to employ, to use
AA制	AAzhì<br>splitting the bill, going dutch
平分	píngfēn<br>to share the bill equally
花费～花費	huāfèi<br>expenditure, expense
符合	fúhé<br>to be in accord with, to fit in with
确实～確實	quèshí<br>indeed, truly
心安理得	xīn ān lǐ dé<br>feel at ease and justified, have an easy conscience
流行	liúxíng<br>prevalent, popular, in vogue
礼节～禮節	lǐjié<br>courtesy, etiquette
当地～當地	dāngdì<br>local
选～選	xuǎn<br>to select, to choose, to pick, to elect
专业～專業	zhuānyè<br>major, profession
研究	yánjiū<br>to study, to research, to look into
障碍～障礙	zhàng'ài<br>obstacle, obstruction, barrier
国际～國際	guójì<br>international
贸易～貿易	màoyì<br>trade
打交道	dǎ jiāodào<br>to deal with
金钱～金錢	jīnqián<br>money
理想主义者～理想主義者	lǐxiǎngzhǔyìzhě<br>idealist
第一位	dì yī wèi<br>the first place
现实～現實	xiànshí<br>reality, real, practical, actual
赚钱～賺錢	zhuàn qián<br>to make money, to make a profit
考虑～考慮	kǎo lǜ<br>to ponder on
金融	jīnróng<br>banking, finance
工商	gōngshāng<br>industry and commerce
管理	guǎnlǐ<br>to supervise
跨国～跨國	kuàguó<br>international, cross-country
合资企业～合資企業	hézī qǐyè<br>joint venture
奶酪	nǎilào<br>cheese
牛排	niúpái<br>steak
汉堡包～漢堡包	hànbǎobāo<br>hamburger
至少	zhìshǎo<br>at least
办公室～辦公室	bànggōngshì<br>office
所谓～所謂	suǒwèi<br>so-called
秘密	mìmì<br>secret
申请～申請	shēnqǐng<br>to apply for
项目～項目	xiàngmù<br>program, sports event
长期～長期	chángqī<br>long-term, longtime
继续～繼續	jìxù<br>to continue, to go on with
打算	dǎsuan<br>to plan, to intend, to calculate
研究所	yánjiūsuǒ<br>research institute
旁听～旁聽	pángtīng<br>to audit (a class)
占～佔	zhàn<br>to occupy, to hold a certain percentage
总～總	zǒng<br>total
佩服	pèifu<br>to admire
计划～計劃	jìhuà<br>plan, to make a plan
梦想～夢想	mèngxiǎng<br>dream
实现～實現	shíxiàn<br>to realize, to come true
资助～資助	zīzhù<br>to subsidize, to financial aid
毕业～畢業	bì yè<br>to graduate
头～頭	tóu<br>the first...
贷款～貸款	dài kuǎn<br>to grant a loan, loan
博士	bóshì<br>Doctor's degree
最近	zuìjìn<br>recently, lately
报纸～報紙	bàozhǐ<br>newspaper
条～條	tiáo<br>piece (of news)
新闻学～新聞學	xīnwénxué<br>journalism
机构～機構	jīgòu<br>mechanism, organization
月薪	yuèxīn<br>monthly salary
套	tào<br>set
公寓	gōngyù<br>apartment
待遇	dàiyù<br>treatment
香港	Xiānggǎng<br>Hong Kong
亚洲～亞洲	Yàzhōu<br>Asia, Asian
时报～時報	shíbào<br>Times (in newspaper titles)
报道～報道	bàodào<br>to report (news), to cover (news)
居住	jūzhù<br>to live, to reside, to dwell
马可波罗～馬可波羅	Mǎkě Bōluó<br>Marco Polo
来自	láizì<br>to originate from, to come from
评价～評價	píngjià<br>to appraise, to assess, evaluation
巨大	jùdà<br>tremendous, enormous
吸引	xīyǐn<br>to attract, to draw near
大量	dàliàng<br>a large amount of
投资～投資	tóu zī<br>to invest, investment
沃尔玛～沃爾瑪	Wò'ěrmǎ<br>Wal-Mart
家乐福～家樂福	Jiālèfú<br>Carrefour
类～類	lèi<br>category
新型	xīnxíng<br>new model, new type
最先	zuìxiān<br>the very first
廉价～廉價	liánjià<br>cheap, low-priced
劳动力～勞動力	láodònglì<br>labor, labor force
外商	wàishāng <br>foreign businessman
办工厂～辦工廠	bàn gōngchǎng<br>to establish a factory
中档～中檔	zhōngdàng<br>of medium grade, quality
抵挡～低檔	dīdàng<br>of low grade or price
制造～製造	zhìzào<br>to make, to manufacture
运～運	yùn<br>to transport (goods)
变成～變成	biànchéng<br>to become, to turn into
不可避免	bù kě bìmiǎn <br>unavoidable, unavoidably
杂志～雜誌	zázhì<br>magazine, journal, periodical
杂志社～雜誌社	zázhìshè<br>newspaper office
驻～駐	zhù<br>to (of troops or personnel) be stations, to stay
记者～記者	jìzhě<br>journalist
开放～開放	kāifàng<br>open, open-minded
惊讶～驚訝	jīngyà<br>surprised, astonished
面对～面對	miànduì<br>to face
陌生人	mòshēngrén<br>stranger
自由	zìyóu<br>freedom, free
表达～表達	biǎodá<br>to express (one's ideas or feelings), to convey
存在	cúnzài<br>to exist
贫富差距～貧富差距	pínfù chājù<br>disparity between the rich and the poor
